A000041,A000104,A000135,A000137,A000190,A000232,A000247,A000323,B000071,B000115,B000152,B000284,B000319,B000340,B000443,B000494,B000516,B000578,B000613,B000655,B000719,B000732,B000814,B000830,B000854,B000899,B000900,B000901,B001088,B001189,B001197,B001204,C000046,C000090,C000104,C000177,C000188,C000204,C000230,C000316,C000363,C000374,C000443,C000518,C000625,C000648,C000700,C000753,C000759,C000766,C000791,C000847,C000859,C000879,C000882,C000920,C000930,C001009,C001016,D000020,D000068,D000088,D000099,D000116,D000120,D000156,D000181,D000205,D000221,D000244,D000309,D000380,D000398,D000400,D000504,D000528,E000012,E000020,E000074,E000166,E000241,E000265,F000115,F000125,F000144,F000201,F000223,F000276,G000011,G000067,G000070,G000097,G000125,G000140,G000167,G000256,G000278,G000355,G000376,G000392,G000423,G000462,G000479,H000003,H000052,H000132,H000152,H000328,H000332,H000363,H000373,H000518,H000594,H000595,H000617,H000687,H000721,H000738,H000745,H000756,H000774,H000844,H000880,H000970,H000988,J000027,J000049,J000054,J000078,J000122,J000155,J000180,J000184,J000240,J000243,K000050,K000084,K000087,K000178,K000215,L000060,L000130,L000172,L000211,L000249,L000278,L000315,L000476,L000494,M000080,M000081,M000123,M000211,M000225,M000322,M000328,M000345,M000389,M000489,M000624,M000642,M000735,M000806,M000856,M000874,M000903,M000945,M000973,M000987,M001003,N000011,N000068,N000111,O000047,O000114,P000032,P000076,P000081,P000082,P000155,P000179,P000267,P000321,P000431,P000469,P000509,P000548,R000030,R000035,R000048,R000066,R000087,R000121,R000174,R000184,R000247,R000284,R000353,R000393,R000396,R000524,R000554,S000020,S000028,S000246,S000311,S000329,S000427,S000475,S000513,S000565,S000615,S000621,S000799,S000813,S000843,S000977,S001020,S001035,S001074,S001099,S001105,T000027,T000092,T000166,T000182,T000203,T000208,T000221,T000272,T000296,T000378,T000391,T000430,U000011,V000028,V000123,W000016,W000020,W000167,W000208,W000274,W000365,W000380,W000436,W000493,W000503,W000511,W000524,W000527,W000536,W000543,W000646,W000649,W000748,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Nay,Not Voting,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,,Not Voting,Yea,,Nay,Not Voting,Yea,,Not Voting,Yea,Not Voting,Nay,Yea,,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,,Yea,Nay,Nay,Not Voting,Nay,Yea,,Yea,Yea,Nay,,Nay,Not Voting,Nay,Not Voting,,Not Voting,Not Voting,Not Voting,,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Not Voting,,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,,Not Voting,Not Voting,1840-07-18,0,,unknown,hr100,,,,unknown
Nay,Not Voting,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,,Not Voting,Yea,,Nay,Yea,Yea,,Not Voting,Nay,Not Voting,Nay,Yea,,Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Yea,,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Not Voting,Not Voting,,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,,Yea,Nay,Nay,Not Voting,Nay,Yea,,Yea,Not Voting,Nay,,Not Voting,Not Voting,Nay,Not Voting,,Not Voting,Not Voting,Not Voting,,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,,Yea,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Nay,,Not Voting,Not Voting,1840-07-18,0,,unknown,hr4,,,,unknown
Not Voting,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Not Voting,,Not Voting,Not Voting,,Nay,Not Voting,Yea,,Not Voting,Nay,Nay,Yea,Yea,,Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,,Yea,Not Voting,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Nay,,Yea,,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Yea,Not Voting,,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Yea,,Yea,Nay,Nay,Not Voting,Not Voting,Not Voting,,Yea,Nay,Not Voting,,Nay,Not Voting,Nay,Nay,,Not Voting,Not Voting,Nay,,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Yea,,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Not Voting,Yea,Yea,,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Nay,,Not Voting,Not Voting,1840-07-18,0,,unknown,hr4,,,,unknown
Nay,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,,Not Voting,Not Voting,,Nay,Not Voting,Yea,,Not Voting,Nay,Not Voting,Yea,Yea,,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Nay,,Not Voting,,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Yea,Not Voting,,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Yea,,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,,Yea,Nay,Not Voting,,Yea,Not Voting,Nay,Yea,,Not Voting,Not Voting,Yea,,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Not Voting,,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Not Voting,Yea,Yea,,Yea,Nay,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,,Nay,Not Voting,1840-07-18,0,,unknown,hr4,,,,unknown
Nay,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,,Not Voting,Nay,,Not Voting,Not Voting,Nay,,Not Voting,Nay,Not Voting,Yea,Yea,,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,,Yea,Nay,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Not Voting,Nay,,Not Voting,,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,,Nay,Yea,Nay,Not Voting,Not Voting,Nay,,Yea,Yea,Not Voting,,Yea,Not Voting,Nay,Yea,,Not Voting,Not Voting,Yea,,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Nay,,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Not Voting,,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,,Not Voting,Not Voting,1840-07-18,0,,unknown,hr4,,,,unknown
Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,,Not Voting,Yea,,Not Voting,Not Voting,Not Voting,,Not Voting,Nay,Not Voting,Yea,Yea,,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Yea,,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,,Not Voting,,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,,Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,,Nay,Yea,Yea,,Yea,Not Voting,Nay,Yea,,Nay,Nay,Yea,,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Nay,,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,Not Voting,Yea,,Not Voting,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,Not Voting,Nay,,Not Voting,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Nay,,Nay,Not Voting,1840-07-18,0,,unknown,s397,,,,unknown
Nay,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,,Not Voting,Yea,,Nay,Not Voting,Yea,,Not Voting,Nay,Nay,Yea,Yea,,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Yea,,Yea,Nay,Not Voting,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Yea,Nay,Yea,Nay,,Not Voting,,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Nay,Nay,,Not Voting,Nay,Nay,Nay,Yea,Nay,Not Voting,Yea,,Not Voting,Yea,Yea,Nay,Not Voting,Yea,,Not Voting,Yea,Yea,,Yea,Not Voting,Yea,Not Voting,,Nay,Nay,Yea,,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Yea,,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Not Voting,Yea,Yea,,Not Voting,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,,Yea,Nay,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Nay,,Not Voting,Not Voting,1840-07-18,0,,unknown,,,,,unknown
Nay,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,,Not Voting,Yea,,Nay,Not Voting,Yea,,Not Voting,Yea,Nay,Yea,Yea,,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,,Yea,,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,,Not Voting,Yea,Not Voting,,Yea,Not Voting,Not Voting,Not Voting,,Nay,Not Voting,Yea,,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Not Voting,Nay,,Yea,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Not Voting,Yea,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Nay,,Yea,Not Voting,1840-07-18,0,,unknown,hr6,,,,unknown
Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Not Voting,,Not Voting,Not Voting,,Not Voting,Nay,Nay,,Not Voting,Nay,Nay,Nay,Yea,,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,,Nay,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Not Voting,,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,,Yea,,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,Not Voting,,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,,Yea,Yea,Not Voting,Nay,Not Voting,Nay,,Nay,Yea,Nay,,Yea,Not Voting,Nay,Not Voting,,Nay,Nay,Nay,,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Nay,,Yea,Yea,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Yea,,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Yea,,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,,Nay,Not Voting,1840-07-18,0,,unknown,hr6,,,,unknown
Nay,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Yea,,Yea,Not Voting,,Nay,Not Voting,Nay,,Not Voting,Nay,Not Voting,Nay,Not Voting,,Nay,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Yea,,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,,Yea,,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Yea,Not Voting,,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,,Yea,Nay,Nay,Nay,Nay,Nay,,Yea,Nay,Not Voting,,Nay,Not Voting,Not Voting,Nay,,Nay,Yea,Yea,,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,,Nay,Not Voting,1840-07-18,0,,unknown,hr6,,,,unknown
Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Nay,,Nay,Not Voting,,Nay,Not Voting,Yea,,Not Voting,Nay,Not Voting,Yea,Nay,,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,Not Voting,Yea,,Yea,Yea,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Not Voting,,Not Voting,,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Yea,,Nay,Yea,Nay,Nay,Not Voting,Yea,,Yea,Nay,Not Voting,,Yea,Not Voting,Not Voting,Not Voting,,Nay,Nay,Nay,,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Nay,,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Nay,,Nay,Not Voting,1840-07-18,0,,unknown,hr6,,,,unknown
