A000150,A000181,B000233,B000251,B000398,B000428,B000903,B001005,C000044,C000375,C000481,C000482,C000499,C000912,C001023,D000117,D000376,F000425,G000362,G000509,H000482,H000883,H000997,K000139,K000217,K000287,L000338,L000512,M000096,M000654,M001050,N000085,N000096,N000158,P000299,P000333,P000437,P000510,P000519,R000285,R000293,R000344,R000502,S000256,S000599,S000600,S000689,S000719,S000992,S001046,T000032,T000039,W000067,W000071,W000238,W000351,W000376,W000532,W000770,Y000050,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Nay,Nay,Yea,Nay,Nay,,,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,,Nay,Nay,Nay,,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,,,Nay,Yea,Yea,Nay,Nay,,Nay,,Nay,Nay,Nay,1841-03-02,0,,unknown,hr601,,,,unknown
Yea,Yea,Yea,Yea,Yea,,,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,,,Yea,Not Voting,Yea,Yea,Yea,,Not Voting,,Yea,Yea,Yea,1841-03-02,0,,unknown,hr601,,,,unknown
Not Voting,Nay,Yea,Not Voting,Nay,,,Yea,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Not Voting,,Yea,Nay,Yea,,Nay,Nay,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,Nay,Yea,,,Not Voting,Yea,Nay,Yea,Yea,,Not Voting,,Not Voting,Not Voting,Not Voting,1841-03-02,0,,unknown,hr544,,,,unknown
Nay,Yea,Yea,Not Voting,Not Voting,,,Nay,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,,Yea,Nay,Nay,,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,,,Yea,Yea,Yea,Yea,Yea,,Not Voting,,Not Voting,Not Voting,Nay,1841-03-02,0,,unknown,hr544,,,,unknown
Nay,Nay,Not Voting,Not Voting,Nay,,,Nay,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,,Nay,Nay,Nay,,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Yea,Nay,Not Voting,,,Yea,Yea,Nay,Yea,Yea,,Not Voting,,Nay,Nay,Nay,1841-03-02,0,,unknown,hr544,,,,unknown
Yea,Yea,Nay,Not Voting,Yea,,,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,,Not Voting,Yea,Nay,,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,,,Not Voting,Not Voting,Not Voting,Yea,Not Voting,,Yea,,Nay,Nay,Not Voting,1841-03-02,0,,unknown,hr580,,,,unknown
Yea,Not Voting,Nay,Not Voting,Yea,,,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,,Not Voting,Not Voting,Yea,,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,,,Not Voting,Not Voting,Yea,Yea,Not Voting,,Yea,,Not Voting,Nay,Yea,1841-03-02,0,,unknown,hr580,,,,unknown
Yea,Yea,Yea,Yea,Yea,,,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,,Yea,Nay,Yea,,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,,,Yea,Yea,Yea,Yea,Not Voting,,Yea,,Yea,Yea,Yea,1841-03-02,0,,unknown,hr543,,,,unknown
Nay,Nay,Nay,Not Voting,Nay,,,Nay,Yea,Nay,Yea,Nay,Nay,Not Voting,Nay,,Not Voting,Yea,Nay,,Nay,Nay,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Nay,,,Nay,Nay,Nay,Nay,Nay,,Nay,,Nay,Nay,Nay,1841-03-02,0,,unknown,hr543,,,,unknown
Nay,Not Voting,Not Voting,Yea,Nay,,,Not Voting,Nay,Yea,Yea,Not Voting,Not Voting,Not Voting,Nay,,Yea,Yea,Yea,,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,,,Nay,Yea,Nay,Nay,Nay,,Yea,,Nay,Nay,Nay,1841-03-03,0,,unknown,,,,,unknown
Nay,Not Voting,Not Voting,Yea,Nay,,,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Nay,,Yea,Nay,Yea,,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,,,Nay,Yea,Nay,Nay,Nay,,Yea,,Nay,Nay,Nay,1841-03-03,0,,unknown,,,,,unknown
Nay,Not Voting,Yea,Yea,Yea,,,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,,Not Voting,Yea,Yea,,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,Not Voting,,,Yea,Yea,Nay,Yea,Yea,,Not Voting,,Nay,Yea,Yea,1841-03-03,0,,unknown,,,,,unknown
Nay,Yea,Yea,Yea,Yea,,,Nay,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Nay,,Not Voting,Nay,Yea,,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Not Voting,Yea,Nay,Yea,,,Nay,Yea,Nay,Yea,Nay,,Nay,,Nay,Nay,Nay,1841-03-03,0,,unknown,hr539,,,,unknown
Nay,Not Voting,Yea,Yea,Nay,,,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,Yea,,,Yea,Yea,Nay,Yea,Not Voting,,Yea,,Not Voting,Nay,Yea,1841-03-03,0,,unknown,hr76,,,,unknown
Yea,Yea,Not Voting,Not Voting,Yea,,,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,,Nay,Yea,Nay,,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,Nay,,,Yea,Nay,Yea,Yea,Yea,,Nay,,Yea,Yea,Yea,1841-03-03,0,,unknown,,,,,unknown
Not Voting,Yea,Not Voting,Nay,Yea,,,Not Voting,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,,Not Voting,Yea,Not Voting,,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,,,Yea,Yea,Nay,Yea,Nay,,Nay,,Nay,Nay,Not Voting,1841-03-03,0,,unknown,s36,,,,unknown
Not Voting,Yea,Not Voting,Nay,Nay,,,Not Voting,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,,Not Voting,Yea,Nay,,Nay,Not Voting,,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,Nay,,,Yea,Yea,Nay,Yea,Nay,,Nay,,Nay,Not Voting,Not Voting,1841-03-03,0,,unknown,s36,,,,unknown
Yea,Yea,Not Voting,Nay,Yea,,,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,,Yea,Yea,Yea,,Nay,Not Voting,,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,,,Yea,Yea,Yea,Yea,Not Voting,,Yea,,Yea,Not Voting,Not Voting,1841-03-03,0,,unknown,s36,,,,unknown
