A000136,A000165,A000167,A000235,B000015,B000137,B000192,B000224,B000256,B000434,B000453,B000530,B000714,B000785,B000928,B000942,B001160,B001194,C000045,C000091,C000279,C000280,C000288,C000350,C000372,C000487,C000531,C000547,C000564,C000723,C000834,C000894,C000910,C001033,D000024,D000075,D000151,D000271,E000168,E000176,E000197,F000124,F000155,F000346,G000039,G000049,G000054,G000066,G000150,G000257,G000261,G000306,G000394,H000039,H000354,H000464,H000571,H000718,H000834,H000886,H000914,H000996,J000021,J000025,J000087,J000170,J000254,K000089,K000116,K000159,K000282,L000290,L000363,L000370,L000456,L000524,L000545,M000034,M000130,M000239,M000302,M000496,M000515,M000520,M000750,M000786,M000831,M000867,M000909,M000919,M001003,M001023,M001076,N000041,N000064,N000078,N000086,N000098,P000168,P000330,P000368,P000443,P000446,P000463,Q000015,R000047,R000089,R000181,R000218,R000263,R000291,R000431,R000449,S000012,S000023,S000089,S000098,S000200,S000215,S000264,S000310,S000317,S000507,S000508,S000537,S000564,S000610,S000685,S000794,S000800,S000828,S000864,S001048,S001125,T000012,T000029,T000085,T000206,T000347,T000382,T000416,U000023,V000037,V000043,V000054,V000074,W000220,W000329,W000404,W000421,W000592,W000637,W000661,W000768,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
,Not Voting,Not Voting,Yea,Nay,Yea,,Nay,,Yea,,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Nay,,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Yea,,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,,Nay,Nay,Nay,Yea,,Not Voting,Nay,,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Not Voting,,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,,Nay,Yea,Not Voting,Yea,Nay,Not Voting,,,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,,1810-04-03,0,,unknown,,,,,unknown
,Not Voting,Yea,Yea,Yea,Yea,,Nay,,Yea,,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,Yea,,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Yea,,Yea,Not Voting,Yea,Yea,,Yea,Not Voting,,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,,Yea,Yea,Not Voting,Yea,Yea,Not Voting,,,Yea,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Yea,,1810-04-04,0,,unknown,,,,,unknown
,Not Voting,Not Voting,Nay,Yea,Nay,,Yea,,Yea,,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Nay,,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Not Voting,,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,,Yea,Yea,Yea,Nay,,Not Voting,Yea,,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Not Voting,,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,,Yea,Yea,Not Voting,Nay,Yea,Not Voting,,,Yea,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,,1810-04-04,0,,unknown,,,,,unknown
,Not Voting,Not Voting,Nay,Yea,Nay,,Yea,,Yea,,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Not Voting,Not Voting,,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Yea,,Yea,Yea,Yea,Nay,,Yea,Yea,,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,,,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Yea,,1810-04-04,0,,unknown,,,,,unknown
,Not Voting,Not Voting,Nay,Yea,Not Voting,,Yea,,Yea,,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Yea,,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Not Voting,,Yea,Yea,Yea,Nay,,Yea,Yea,,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,,Yea,Yea,Not Voting,Nay,Yea,Not Voting,,,Nay,Not Voting,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,,Not Voting,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Yea,,1810-04-04,0,,unknown,,,,,unknown
,Not Voting,Nay,Nay,Not Voting,Nay,,Nay,,Yea,,Yea,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,Yea,,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Nay,Yea,Nay,,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Not Voting,,Yea,Yea,Nay,Nay,,Yea,Yea,,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,,,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Yea,Nay,Nay,,1810-04-04,0,,unknown,,,,,unknown
,Not Voting,Not Voting,Not Voting,Nay,Not Voting,,Not Voting,,Not Voting,,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,,Nay,Not Voting,Not Voting,Not Voting,,Nay,Not Voting,,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,,,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,,1810-04-09,0,,unknown,,,,,unknown
,Not Voting,Yea,Yea,Yea,Yea,,Not Voting,,Nay,,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Nay,,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Not Voting,,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Yea,,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Nay,,Nay,Nay,Yea,Not Voting,,Nay,Nay,,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Not Voting,,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,,Yea,Yea,Not Voting,Yea,Yea,Not Voting,,,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,Yea,,1810-04-12,0,,unknown,hr92,,,,unknown
,Not Voting,Nay,Nay,Yea,Nay,,Nay,,Nay,,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Yea,,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Yea,,Yea,Yea,Yea,Nay,,Yea,Yea,,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,Nay,,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,,,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,Nay,Nay,,1810-04-12,0,,unknown,hr122,,,,unknown
,Not Voting,Not Voting,Nay,Nay,Not Voting,,Nay,,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Yea,,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Nay,Yea,Yea,,Yea,Yea,Yea,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Yea,,Yea,Not Voting,Nay,Yea,,Yea,Yea,,Nay,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Yea,,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Yea,,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,,,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Yea,,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,,1810-04-12,0,,unknown,hr90,,,,unknown
,Not Voting,Nay,Nay,Nay,Not Voting,,Not Voting,,Not Voting,,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,,Nay,Not Voting,Not Voting,Nay,,Nay,Nay,,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Not Voting,Nay,,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Yea,Not Voting,,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,,,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Nay,,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,,1810-04-14,0,,unknown,,,,,unknown
,Not Voting,Yea,Yea,Yea,Yea,,Nay,,Not Voting,,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Nay,,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Nay,,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Yea,,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Yea,,Nay,Nay,Yea,Nay,,Yea,Nay,,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Not Voting,,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,,,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Yea,Not Voting,,1810-04-14,0,,unknown,hr90,,,,unknown
,Not Voting,Nay,Nay,Nay,Not Voting,,Not Voting,,Yea,,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Nay,,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Nay,,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Yea,,Nay,Not Voting,Not Voting,Yea,,Nay,Not Voting,,Yea,Yea,Yea,Nay,Nay,Not Voting,Yea,Not Voting,Yea,,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Not Voting,,Yea,Nay,Not Voting,Nay,Nay,Not Voting,,,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Nay,,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Nay,,1810-04-17,0,,unknown,,,,,unknown
,Not Voting,Yea,Nay,Yea,Nay,,Yea,,Yea,,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,,Not Voting,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Nay,,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Nay,Not Voting,Yea,,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,,Yea,Yea,Yea,Nay,,Nay,Yea,,Nay,Nay,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Nay,,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,,Nay,Yea,Not Voting,Nay,Nay,Not Voting,,,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Yea,,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Yea,,1810-04-17,0,,unknown,,,,,unknown
,Not Voting,Yea,Nay,Yea,Nay,,Nay,,Yea,,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,,Not Voting,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Nay,,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Yea,,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Yea,,Yea,Yea,Yea,Nay,,Nay,Nay,,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Not Voting,Not Voting,,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,,Nay,Nay,Not Voting,Nay,Nay,Not Voting,,,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Yea,,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,Nay,,1810-04-17,0,,unknown,,,,,unknown
,Not Voting,Yea,Nay,Yea,Nay,,Nay,,Not Voting,,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Yea,,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Nay,,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Nay,Not Voting,Yea,,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,Not Voting,,Yea,Yea,Yea,Nay,,Not Voting,Not Voting,,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Not Voting,Not Voting,,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,Yea,,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,,,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,,Nay,Nay,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Yea,,1810-04-17,0,,unknown,,,,,unknown
,Not Voting,Nay,Nay,Nay,Nay,,Nay,,Nay,,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Nay,,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Nay,,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Not Voting,,Yea,Yea,Nay,Nay,,Yea,Yea,,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Nay,,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Nay,,Nay,Nay,Not Voting,Nay,Nay,Not Voting,,,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Yea,,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,Nay,Nay,,1810-04-18,0,,unknown,hr129,,,,unknown
,Not Voting,Yea,Yea,Yea,Yea,,Yea,,Nay,,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,,Not Voting,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,,Not Voting,Not Voting,Yea,Yea,,Yea,Nay,,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,Yea,,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Not Voting,Yea,Yea,Yea,,Yea,Yea,Not Voting,Yea,Yea,Not Voting,,,Yea,,Yea,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Yea,Yea,,1810-04-18,0,,unknown,hr129,,,,unknown
,Not Voting,Nay,Yea,Not Voting,Nay,,Yea,,Nay,,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,,Yea,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Nay,,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,,Not Voting,Nay,Nay,Not Voting,,Nay,Not Voting,,Yea,Nay,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Yea,,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Nay,,Nay,Yea,Not Voting,Nay,Nay,Not Voting,,,Nay,,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,,1810-04-18,0,,unknown,hr129,,,,unknown
