A000041,A000095,A000123,A000135,A000190,A000246,A000323,A000350,B000115,B000284,B000311,B000319,B000340,B000437,B000443,B000483,B000613,B000628,B000636,B000662,B000830,B000859,B000869,B000984,B001000,B001204,C000043,C000046,C000061,C000090,C000104,C000202,C000204,C000230,C000285,C000300,C000316,C000341,C000355,C000395,C000404,C000443,C000513,C000534,C000587,C000625,C000700,C000791,C000847,C000859,C000879,C000882,C000920,C001009,C001016,C001021,D000056,D000068,D000088,D000156,D000181,D000193,D000244,D000504,D000528,D000547,E000073,E000158,E000241,E000265,E000277,F000006,F000033,F000115,F000201,F000203,F000304,F000396,G000028,G000067,G000070,G000149,G000167,G000230,G000278,G000355,G000361,G000380,G000385,G000392,G000397,G000451,G000462,H000040,H000052,H000092,H000097,H000132,H000210,H000219,H000220,H000261,H000332,H000363,H000373,H000399,H000518,H000536,H000687,H000744,H000748,H000774,H000835,H000899,H000988,H000993,I000021,J000015,J000027,J000078,J000137,J000155,J000180,J000240,J000243,K000050,K000084,K000109,K000174,K000269,L000129,L000172,L000220,L000278,L000315,L000402,L000436,L000437,L000542,M000080,M000192,M000211,M000216,M000225,M000262,M000268,M000277,M000328,M000333,M000345,M000489,M000501,M000516,M000638,M000642,M000735,M000767,M000806,M000874,M000897,M000960,M000973,M000984,M000987,M001065,M001110,N000011,N000120,N000165,O000047,O000157,P000041,P000054,P000076,P000081,P000133,P000140,P000155,P000161,P000179,P000216,P000267,P000297,P000312,P000321,P000391,P000409,P000431,P000469,P000472,P000507,P000509,P000511,P000580,R000048,R000066,R000121,R000158,R000162,R000184,R000224,R000247,R000265,R000284,R000323,R000334,R000507,R000524,S000020,S000093,S000246,S000316,S000329,S000333,S000338,S000360,S000399,S000475,S000531,S000664,S000690,S000725,S000799,S000965,S000993,S001032,S001099,T000027,T000103,T000166,T000221,T000272,T000288,T000296,T000319,T000327,T000430,U000011,V000002,V000030,W000016,W000241,W000247,W000351,W000380,W000431,W000433,W000493,W000511,W000524,W000527,W000536,W000649,W000742,W000748,Y000017,Y000023,date,isAmendment,requires,result,title
Nay,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Yea,,Nay,,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Nay,Not Voting,Not Voting,,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Yea,,,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,,Nay,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,,,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,,Not Voting,,Yea,Yea,,Nay,Not Voting,Not Voting,Yea,Not Voting,,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Yea,,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Yea,Not Voting,Not Voting,,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,,Yea,,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,,,Yea,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,,Yea,Yea,,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Yea,Not Voting,,Yea,Not Voting,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Yea,,Not Voting,Not Voting,Yea,1838-06-11,0,,unknown,
Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Yea,,Yea,,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,,Yea,Yea,Nay,Nay,Nay,Yea,Not Voting,,,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Nay,Nay,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,,,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Nay,,Not Voting,,Yea,Yea,,Nay,Nay,Not Voting,Yea,Not Voting,,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,,Not Voting,Yea,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,,Yea,,Nay,Nay,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,,,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Yea,,Yea,Yea,,Not Voting,Yea,Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Yea,Nay,Yea,Not Voting,,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Yea,Not Voting,,Not Voting,Yea,Yea,1838-06-11,0,,unknown,
Yea,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Yea,,Nay,,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,,Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,,,Nay,Nay,Not Voting,Not Voting,Yea,Not Voting,Not Voting,,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Yea,,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Nay,,,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Yea,,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Yea,Nay,,Not Voting,,Nay,Nay,,Nay,Not Voting,Not Voting,Yea,Not Voting,,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,Yea,Yea,,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,,Not Voting,Yea,Nay,Yea,Yea,Nay,Not Voting,Nay,Nay,,Not Voting,,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,,,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,,Yea,Yea,,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,Yea,Not Voting,,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Not Voting,,Not Voting,Nay,Yea,1838-06-12,0,,unknown,
Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,,Nay,,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,,Nay,Nay,Yea,Nay,Nay,Nay,Yea,,,Not Voting,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Nay,,,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,,Not Voting,Not Voting,Yea,Yea,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Nay,,Not Voting,,Yea,Nay,,Nay,Nay,Nay,Yea,Nay,,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,,Not Voting,,Not Voting,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,,,Yea,Nay,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Not Voting,Nay,Yea,,Yea,Yea,,Not Voting,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,,Not Voting,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Not Voting,,Nay,Nay,Yea,1838-06-14,0,,unknown,
Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,,Nay,,Nay,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Nay,Not Voting,,Nay,Nay,Yea,Yea,Nay,Nay,Yea,,,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Yea,,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Not Voting,,,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,,Not Voting,,Nay,Nay,,Nay,Not Voting,Nay,Yea,Nay,,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Yea,,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Nay,,Yea,,Not Voting,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Not Voting,Yea,Nay,Yea,Yea,Nay,,,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Yea,,Yea,Yea,,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,Yea,Not Voting,,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Not Voting,Yea,Yea,Not Voting,,Nay,Nay,Yea,1838-06-14,0,,unknown,
Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,,Yea,Yea,Yea,Nay,Yea,Yea,Nay,,,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Yea,Nay,,,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,,Yea,,Not Voting,Yea,,Yea,Not Voting,Yea,Nay,Yea,,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,,Not Voting,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Not Voting,Nay,,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,,Yea,,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,,,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,,Not Voting,Nay,,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Nay,Yea,Not Voting,Nay,,Nay,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,,Nay,Nay,Nay,1838-06-14,0,,unknown,s2
Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,,Yea,,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Nay,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,,,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Nay,,,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Yea,,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Yea,,Yea,,Not Voting,Yea,,Yea,Not Voting,Yea,Nay,Yea,,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,,Yea,,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Yea,,,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,Nay,,Yea,Nay,,Not Voting,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,,Yea,Nay,Nay,1838-06-14,0,,unknown,s2
Nay,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Nay,,Yea,,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,,,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Nay,,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Yea,,,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Yea,,Not Voting,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,Yea,,Not Voting,,Not Voting,Yea,,Yea,Not Voting,Yea,Nay,Yea,,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Nay,Yea,Yea,,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,Not Voting,Not Voting,,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,,Yea,,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Yea,Yea,,,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Not Voting,Yea,Nay,,Not Voting,Nay,,Not Voting,Nay,Yea,Nay,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,,Yea,Nay,Nay,1838-06-14,0,,unknown,s2
Yea,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,,Nay,,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,Nay,Not Voting,,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,,,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,,,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,,Yea,Yea,Nay,Not Voting,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,,Yea,,Not Voting,Not Voting,,Nay,Not Voting,Not Voting,Not Voting,Nay,,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,Not Voting,,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Yea,,Nay,,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,,,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,,Yea,Nay,,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,,Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,,Nay,Yea,Yea,1838-06-14,0,,unknown,s2
Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Not Voting,,Not Voting,,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,,Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,,,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,Yea,,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Yea,,,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Yea,,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,,Yea,,Not Voting,Nay,,Not Voting,Not Voting,Not Voting,Yea,Not Voting,,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,,Not Voting,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,,Nay,,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Not Voting,,,Yea,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,,Not Voting,Yea,,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Nay,Not Voting,Not Voting,,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Nay,Yea,Not Voting,,Not Voting,Yea,Not Voting,1838-06-14,0,,unknown,s2
Yea,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Yea,,Nay,,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Nay,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Yea,,,Yea,Yea,Nay,Not Voting,Yea,Nay,Not Voting,,Nay,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Not Voting,,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Yea,,,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,,Yea,,Not Voting,Nay,,Nay,Not Voting,Not Voting,Yea,Nay,,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Not Voting,,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Yea,,Nay,,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,,,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,,Nay,Nay,,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,,Yea,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Yea,,Not Voting,Yea,Not Voting,1838-06-14,0,,unknown,s2
