A000262,A000295,B000059,B000248,B000473,B000759,B000789,B000835,B000960,C000150,C000299,C000332,C000427,C000524,C000628,C000819,D000099,D000369,D000428,D000457,F000099,F000106,F000248,F000308,G000475,H000034,H000189,H000211,H000242,H000468,H000483,H000567,H000839,H000856,H000988,J000116,J000179,K000103,K000211,L000060,L000061,L000110,M000216,M000416,M000801,M000970,N000050,N000096,P000161,P000411,P000423,P000481,R000198,R000228,S000074,S000216,S000346,S000417,S000809,S001068,T000122,T000231,T000392,T000432,W000005,W000072,W000447,W000476,W000484,W000566,W000585,W000609,W000766,date,isAmendment,requires,result,title
Nay,,,Not Voting,,,,,,Nay,Not Voting,,Nay,,Yea,Yea,Yea,Yea,Yea,,Yea,,Yea,Yea,Yea,Not Voting,,Nay,Yea,,Yea,,Nay,Yea,,,,Nay,Yea,Yea,Nay,Nay,,Nay,,Nay,Nay,,,,Not Voting,Nay,Not Voting,,Nay,,Not Voting,,Nay,Not Voting,Yea,,Yea,,Yea,,,Not Voting,Nay,Yea,Not Voting,Yea,,1862-06-12,0,,unknown,
Yea,,,Not Voting,,,,,,Yea,Yea,,Nay,,Nay,Nay,Nay,Yea,Nay,,Nay,,Yea,Yea,Nay,Nay,,Yea,Not Voting,,Yea,,Yea,Yea,,,,Nay,Yea,Not Voting,Yea,Nay,,Nay,,Not Voting,Nay,,,,Yea,Nay,Not Voting,,Nay,,Not Voting,,Nay,Yea,Yea,,Yea,,Not Voting,,,Not Voting,Yea,Not Voting,Nay,Yea,,1862-06-13,0,,unknown,hr423
Nay,,,Not Voting,,,,,,Nay,Not Voting,,Nay,,Nay,Nay,Nay,Nay,Nay,,Nay,,Nay,Nay,Nay,Nay,,Nay,Not Voting,,Yea,,Nay,Nay,,,,Nay,Not Voting,Nay,Yea,Nay,,Nay,,Not Voting,Nay,,,,Yea,Nay,Not Voting,,Nay,,Not Voting,,Nay,Not Voting,Nay,,Nay,,Not Voting,,,Not Voting,Nay,Not Voting,Nay,Not Voting,,1862-06-13,0,,unknown,hr423
Yea,,,Not Voting,,,,,,Nay,Yea,,Nay,,Nay,Not Voting,Nay,Yea,Nay,,Nay,,Yea,Yea,Nay,Nay,,Nay,Not Voting,,Yea,,Yea,Yea,,,,Nay,Yea,Nay,Yea,Nay,,Nay,,Yea,Nay,,,,Yea,Nay,Not Voting,,Nay,,Not Voting,,Nay,Yea,Yea,,Yea,,Not Voting,,,Not Voting,Yea,Not Voting,Nay,Not Voting,,1862-06-13,0,,unknown,hr423
Nay,,,Not Voting,,,,,,Yea,Nay,,Yea,,Yea,Not Voting,Yea,Yea,Yea,,Yea,,Yea,Yea,Yea,Yea,,Yea,Not Voting,,Yea,,Nay,Yea,,,,Yea,Nay,Yea,Yea,Yea,,Yea,,Yea,Yea,,,,Yea,Yea,Not Voting,,Yea,,Not Voting,,Yea,Nay,Nay,,Nay,,Not Voting,,,Not Voting,Yea,Not Voting,Yea,Yea,,1862-06-13,0,,unknown,hr423
Yea,,,Not Voting,,,,,,Nay,Yea,,Nay,,Not Voting,Not Voting,Nay,Yea,Nay,,Nay,,Yea,Nay,Nay,Nay,,Nay,Not Voting,,Nay,,Nay,Nay,,,,Not Voting,Yea,Not Voting,Yea,Nay,,Yea,,Nay,Not Voting,,,,Yea,Nay,Not Voting,,Not Voting,,Not Voting,,Nay,Nay,Nay,,Yea,,Not Voting,,,Not Voting,Nay,Yea,Nay,Yea,,1862-06-13,0,,unknown,
Nay,,,Not Voting,,,,,,Yea,Nay,,Yea,,Yea,Not Voting,Nay,Yea,Nay,,Nay,,Yea,Nay,Yea,Yea,,Yea,Not Voting,,Yea,,Nay,Nay,,,,Not Voting,Yea,Yea,Yea,Nay,,Nay,,Yea,Not Voting,,,,Yea,Nay,Not Voting,,Nay,,Not Voting,,Nay,Yea,Nay,,Yea,,Not Voting,,,Not Voting,Yea,Yea,Yea,Nay,,1862-06-16,0,,unknown,hr423
Yea,,,Not Voting,,,,,,Nay,Yea,,Nay,,Nay,Not Voting,Yea,Yea,Yea,,Nay,,Yea,Yea,Nay,Yea,,Nay,Not Voting,,Nay,,Nay,Yea,,,,Not Voting,Yea,Nay,Nay,Yea,,Nay,,Not Voting,Nay,,,,Yea,Not Voting,Not Voting,,Nay,,Not Voting,,Yea,Yea,Yea,,Yea,,Not Voting,,,Not Voting,Nay,Yea,Yea,Yea,,1862-06-16,0,,unknown,hr423
Yea,,,Not Voting,,,,,,Nay,Not Voting,,Nay,,Nay,Not Voting,Yea,Nay,Nay,,Nay,,Yea,Yea,Nay,Nay,,Nay,Not Voting,,Not Voting,,Yea,Nay,,,,Not Voting,Yea,Nay,Yea,Nay,,Nay,,Not Voting,Nay,,,,Yea,Nay,Not Voting,,Nay,,Not Voting,,Yea,Yea,Yea,,Yea,,Not Voting,,,Not Voting,Nay,Nay,Yea,Yea,,1862-06-16,0,,unknown,hr423
Nay,,,Not Voting,,,,,,Nay,Nay,,Yea,,Yea,Not Voting,Nay,Nay,Yea,,Yea,,Nay,Nay,Yea,Nay,,Yea,Not Voting,,Nay,,Nay,Nay,,,,Not Voting,Nay,Not Voting,Yea,Yea,,Yea,,Yea,Yea,,,,Yea,Not Voting,Not Voting,,Yea,,Not Voting,,Yea,Nay,Nay,,Nay,,Not Voting,,,Not Voting,Nay,Yea,Yea,Yea,,1862-06-16,0,,unknown,hr423
Yea,,,Not Voting,,,,,,Not Voting,Not Voting,,Nay,,Nay,Not Voting,Nay,Yea,Nay,,Nay,,Yea,Yea,Nay,Nay,,Nay,Not Voting,,Yea,,Yea,Yea,,,,Not Voting,Yea,Nay,Yea,Nay,,Nay,,Nay,Nay,,,,Yea,Not Voting,Not Voting,,Nay,,Not Voting,,Yea,Yea,Yea,,Yea,,Not Voting,,,Not Voting,Nay,Yea,Nay,Yea,,1862-06-16,0,,unknown,hr423
Nay,,,Not Voting,,,,,,Yea,Not Voting,,Nay,,Nay,Not Voting,Yea,Nay,Nay,,Nay,,Yea,Nay,Nay,Nay,,Nay,Not Voting,,Yea,,Nay,Not Voting,,,,Not Voting,Nay,Nay,Yea,Nay,,Nay,,Nay,Yea,,,,Yea,Yea,Not Voting,,Yea,,Not Voting,,Not Voting,Nay,Nay,,Nay,,Not Voting,,,Not Voting,Nay,Nay,Nay,Yea,,1862-06-16,0,,unknown,hr423
Yea,,,Not Voting,,,,,,Yea,Not Voting,,Yea,,Yea,Not Voting,Yea,Yea,Yea,,Yea,,Yea,Yea,Nay,Yea,,Nay,Not Voting,,Yea,,Yea,Not Voting,,,,Not Voting,Nay,Yea,Yea,Yea,,Yea,,Nay,Yea,,,,Yea,Yea,Not Voting,,Yea,,Not Voting,,Not Voting,Nay,Yea,,Nay,,Not Voting,,,Not Voting,Nay,Yea,Yea,Nay,,1862-06-16,0,,unknown,hr364
Nay,,,Not Voting,,,,,,Nay,Yea,,Nay,,Nay,Not Voting,Yea,Nay,Nay,,Nay,,Nay,Nay,Nay,Nay,,Yea,Not Voting,,Not Voting,,Yea,Not Voting,,,,Not Voting,Yea,Yea,Yea,Nay,,Nay,,Nay,Nay,,,,Yea,Nay,Not Voting,,Nay,,Not Voting,,Not Voting,Yea,Nay,,Yea,,Not Voting,,,Not Voting,Not Voting,Nay,Nay,Yea,,1862-06-16,0,,unknown,
Yea,,,Not Voting,,,,,,Not Voting,Nay,,Yea,,Yea,Not Voting,Yea,Yea,Yea,,Yea,,Yea,Yea,Yea,Yea,,Nay,Not Voting,,Yea,,Not Voting,Not Voting,,,,Not Voting,Nay,Yea,Nay,Yea,,Yea,,Yea,Yea,,,,Not Voting,Yea,Not Voting,,Yea,,Not Voting,,Not Voting,Nay,Yea,,Nay,,Not Voting,,,Not Voting,Nay,Yea,Yea,Yea,,1862-06-16,0,,unknown,
Nay,,,Not Voting,,,,,,Not Voting,Yea,,Nay,,Nay,Not Voting,Yea,Nay,Nay,,Nay,,Not Voting,Nay,Yea,Yea,,Yea,Not Voting,,Nay,,Not Voting,Nay,,,,Nay,Yea,Yea,Yea,Yea,,Yea,,Nay,Nay,,,,Not Voting,Yea,Yea,,Yea,,Yea,,Not Voting,Yea,Nay,,Yea,,Not Voting,,,Not Voting,Nay,Nay,Nay,Nay,,1862-06-17,0,,unknown,hr413
Not Voting,,,Not Voting,,,,,,Not Voting,Yea,,Yea,,Yea,Not Voting,Yea,Nay,Yea,,Yea,,Yea,Yea,Yea,Yea,,Yea,Not Voting,,Nay,,Yea,Yea,,,,Nay,Yea,Yea,Nay,Nay,,Nay,,Yea,Nay,,,,Nay,Nay,Nay,,Nay,,Nay,,Not Voting,Yea,Yea,,Nay,,Not Voting,,,Not Voting,Nay,Yea,Yea,Nay,,1862-06-17,0,,unknown,hr364
Yea,,,Not Voting,,,,,,Not Voting,Yea,,Yea,,Yea,Not Voting,Yea,Yea,Yea,,Yea,,Yea,Yea,Yea,Not Voting,,Yea,Not Voting,,Nay,,Nay,Yea,,,,Nay,Nay,Yea,Nay,Nay,,Yea,,Yea,Nay,,,,Yea,Nay,Not Voting,,Nay,,Nay,,Not Voting,Yea,Yea,,Nay,,Yea,,,Yea,Nay,Not Voting,Yea,Yea,,1862-06-18,0,,unknown,hr364
Nay,,,Not Voting,,,,,,Not Voting,Not Voting,,Nay,,Nay,Nay,Yea,Nay,Yea,,Nay,,Nay,Not Voting,Nay,Nay,,Nay,Not Voting,,Yea,,Yea,Yea,,,,Nay,Not Voting,Not Voting,Yea,Nay,,Yea,,Nay,Nay,,,,Yea,Nay,Nay,,Not Voting,,Nay,,Not Voting,Nay,Nay,,Nay,,Nay,,,Yea,Nay,Not Voting,Nay,Yea,,1862-06-18,0,,unknown,hr364
Nay,,,Not Voting,,,,,,Not Voting,Nay,,Nay,,Nay,Not Voting,Yea,Yea,Nay,,Nay,,Nay,Nay,Nay,Not Voting,,Not Voting,Nay,,Yea,,Nay,Not Voting,,,,Yea,Nay,Yea,Nay,Yea,,Nay,,Nay,Yea,,,,Nay,Yea,Not Voting,,Yea,,Yea,,Not Voting,Nay,Not Voting,,Nay,,Nay,,,Nay,Yea,Yea,Nay,Yea,,1862-06-19,0,,unknown,
Nay,,,Not Voting,,,,,,Nay,Nay,,Yea,,Yea,Yea,Yea,Yea,Nay,,Not Voting,,Nay,Yea,Yea,Yea,,Yea,Not Voting,,Nay,,Not Voting,Yea,,,,Yea,Nay,Nay,Nay,Yea,,Yea,,Yea,Yea,,,,Nay,Yea,Not Voting,,Nay,,Nay,,Not Voting,Yea,Nay,,Yea,,Nay,,,Yea,Yea,Yea,Yea,Nay,,1862-06-19,0,,unknown,s175
Yea,,,Not Voting,,,,,,Nay,Yea,,Yea,,Yea,Not Voting,Yea,Nay,Nay,,Yea,,Yea,Yea,Yea,Not Voting,,Yea,Yea,,Yea,,Nay,Yea,,,,Yea,Yea,Yea,Yea,Nay,,Nay,,Yea,Nay,,,,Yea,Nay,Nay,,Not Voting,,Not Voting,,Not Voting,Yea,Yea,,Not Voting,,Not Voting,,,Not Voting,Nay,Nay,Yea,Yea,,1862-06-19,0,,unknown,hr364
Yea,,,Not Voting,,,,,,Not Voting,Not Voting,,Yea,,Yea,Nay,Not Voting,Yea,Nay,,Yea,,Nay,Yea,Not Voting,Yea,,Yea,Yea,,Nay,,Nay,Yea,,,,Nay,Not Voting,Nay,Yea,Nay,,Nay,,Yea,Nay,,,,Yea,Nay,Nay,,Not Voting,,Yea,,Not Voting,Yea,Yea,,Not Voting,,Nay,,,Nay,Yea,Nay,Nay,Nay,,1862-06-19,0,,unknown,hr364
Not Voting,,,Not Voting,,,,,,Not Voting,Nay,,Yea,,Yea,Nay,Nay,Nay,Nay,,Yea,,Yea,Yea,Nay,Yea,,Nay,Nay,,Nay,,Nay,Yea,,,,Not Voting,Yea,Yea,Yea,Nay,,Nay,,Yea,Nay,,,,Nay,Yea,Nay,,Not Voting,,Not Voting,,Not Voting,Nay,Yea,,Yea,,Nay,,,Nay,Yea,Nay,Yea,Nay,,1862-06-19,0,,unknown,hr364
Yea,,,Not Voting,,,,,,Not Voting,Yea,,Nay,,Not Voting,Not Voting,Yea,Nay,Yea,,Nay,,Yea,Nay,Yea,Nay,,Yea,Nay,,Yea,,Yea,Yea,,,,Not Voting,Nay,Nay,Yea,Nay,,Nay,,Nay,Yea,,,,Yea,Yea,Yea,,Not Voting,,Nay,,Not Voting,Nay,Nay,,Nay,,Yea,,,Yea,Yea,Yea,Yea,Nay,,1862-06-19,0,,unknown,hr364
Yea,,,Not Voting,,,,,,Not Voting,Yea,,Nay,,Yea,Yea,Nay,Nay,Nay,,Nay,,Yea,Not Voting,Yea,Nay,,Nay,Not Voting,,Yea,,Nay,Nay,,,,Not Voting,Yea,Yea,Yea,Nay,,Nay,,Nay,Nay,,,,Yea,Nay,Nay,,Not Voting,,Not Voting,,Not Voting,Yea,Not Voting,,Yea,,Nay,,,Yea,Nay,Not Voting,Yea,Yea,,1862-06-19,0,,unknown,
Nay,,,Not Voting,,,,,,Yea,Yea,,Nay,,Yea,Not Voting,Not Voting,Not Voting,Nay,,Nay,,Yea,Not Voting,Yea,Nay,,Nay,Yea,,Nay,,Yea,Nay,,,,Not Voting,Yea,Yea,Yea,Nay,,Nay,,Yea,Nay,,,,Yea,Nay,Nay,,Not Voting,,Not Voting,,Not Voting,Yea,Not Voting,,Not Voting,,Yea,,,Yea,Yea,Yea,Yea,Yea,,1862-06-19,0,,unknown,
Not Voting,,,Not Voting,,,,,,Yea,Not Voting,,Yea,,Yea,Yea,Not Voting,Yea,Nay,,Yea,,Yea,Yea,Yea,Yea,,Nay,Yea,,Yea,,Yea,Yea,,,,Yea,Nay,Nay,Nay,Yea,,Yea,,Yea,Yea,,,,Not Voting,Yea,Not Voting,,Nay,,Nay,,Not Voting,Yea,Yea,,Yea,,Nay,,,Not Voting,Yea,Yea,Yea,Nay,,1862-06-20,0,,unknown,s175
Nay,,,Not Voting,,,,,,Nay,Not Voting,,Nay,,Nay,Nay,Yea,Nay,Yea,,Nay,,Nay,Nay,Yea,Yea,,Nay,Nay,,Nay,,Yea,Yea,,,,Nay,Yea,Yea,Nay,Nay,,Nay,,Nay,Nay,,,,Nay,Nay,Not Voting,,Yea,,Yea,,Not Voting,Nay,Nay,,Nay,,Yea,,,Not Voting,Yea,Nay,Nay,Yea,,1862-06-20,0,,unknown,s175
Yea,,,Not Voting,,,,,,Not Voting,Yea,,Yea,,Yea,Nay,Yea,Nay,Nay,,Yea,,Yea,Yea,Nay,Nay,,Nay,Nay,,Yea,,Yea,Yea,,,,Nay,Yea,Yea,Yea,Nay,,Nay,,Yea,Nay,,,,Nay,Not Voting,Nay,,Not Voting,,Yea,,Nay,Nay,Yea,,Yea,,Nay,,,Nay,Yea,Not Voting,Nay,Nay,,1862-06-20,0,,unknown,hr364
Nay,,,Not Voting,,,,,,Not Voting,Nay,,Nay,,Nay,Nay,Nay,Nay,Nay,,Not Voting,,Nay,Nay,Nay,Nay,,Nay,Yea,,Nay,,Yea,Yea,,,,Yea,Yea,Nay,Yea,Yea,,Nay,,Nay,Yea,,,,Yea,Yea,Yea,,Not Voting,,Nay,,Nay,Nay,Nay,,Nay,,Nay,,,Yea,Yea,Yea,Nay,Nay,,1862-06-20,0,,unknown,hr364
Yea,,,Not Voting,,,,,,Not Voting,Nay,,Yea,,Yea,Yea,Not Voting,Nay,Nay,,Not Voting,,Yea,Yea,Yea,Yea,,Nay,Yea,,Not Voting,,Yea,Yea,,,,Yea,Yea,Nay,Nay,Yea,,Yea,,Yea,Yea,,,,Nay,Yea,Yea,,Not Voting,,Yea,,Yea,Yea,Yea,,Yea,,Nay,,,Yea,Yea,Yea,Yea,Yea,,1862-06-20,0,,unknown,hr364
Yea,,,Not Voting,,,,,,Not Voting,Yea,,Yea,,Yea,Yea,Yea,Yea,Yea,,Not Voting,,Yea,Yea,Yea,Yea,,Yea,Yea,,Yea,,Nay,Nay,,,,Yea,Nay,Yea,Yea,Yea,,Yea,,Yea,Yea,,,,Nay,Not Voting,Yea,,Not Voting,,Yea,,Nay,Yea,Not Voting,,Yea,,Yea,,,Nay,Yea,Yea,Yea,Nay,,1862-06-20,0,,unknown,hr364
Nay,,,Not Voting,,,,,,Not Voting,Not Voting,,Nay,,Nay,Nay,Yea,Nay,Nay,,Nay,,Yea,Nay,Yea,Nay,,Yea,Yea,,Yea,,Yea,Nay,,,,Yea,Yea,Nay,Yea,Nay,,Nay,,Nay,Nay,,,,Yea,Nay,Yea,,Not Voting,,Nay,,Nay,Yea,Nay,,Yea,,Yea,,,Yea,Yea,Nay,Nay,Nay,,1862-06-20,0,,unknown,
Nay,,,Not Voting,,,,,,Not Voting,Nay,,Nay,,Not Voting,Yea,Not Voting,Yea,Yea,,Not Voting,,Nay,Not Voting,Nay,Not Voting,,Nay,Yea,,,,Yea,Nay,,,,Yea,Nay,Not Voting,Nay,Yea,,Yea,,Not Voting,Yea,,,,Nay,Yea,Not Voting,,Yea,,Yea,,Yea,Nay,Nay,,Nay,,Nay,,,Nay,Yea,Nay,Yea,Yea,,1862-06-23,0,,unknown,hr371
Nay,,,Not Voting,,,,,,Not Voting,Nay,,Nay,,Yea,Yea,Not Voting,Yea,Yea,,Yea,,Yea,Not Voting,Nay,Nay,,Nay,Not Voting,,,,Nay,Nay,,,,Yea,Nay,Yea,Nay,Yea,,Not Voting,,Not Voting,Not Voting,,,,Yea,Yea,Not Voting,,Yea,,Yea,,Yea,Nay,Nay,,Nay,,Nay,,,Nay,Yea,Yea,Nay,Nay,,1862-06-23,0,,unknown,hr371
Yea,,,Nay,,,,,,Not Voting,Yea,,Yea,,Yea,Yea,Nay,Yea,Yea,,Yea,,Yea,Yea,Yea,Yea,,Yea,Not Voting,,,,Yea,Yea,,,,Nay,Yea,Yea,Nay,Yea,,Not Voting,,Yea,Not Voting,,,,Yea,Nay,Not Voting,,Nay,,Yea,,Nay,Yea,Yea,,Yea,,Yea,,,Yea,Yea,Yea,Yea,Yea,,1862-06-23,0,,unknown,hr371
Yea,,,Not Voting,,,,,,Not Voting,Yea,,Nay,,Nay,Yea,Yea,Yea,Nay,,Yea,,Yea,Nay,Not Voting,Not Voting,,Yea,Yea,,,,Yea,Nay,,,,Not Voting,Yea,Nay,Yea,Not Voting,,Yea,,Yea,Nay,,,,Yea,Yea,Not Voting,,Not Voting,,Not Voting,,Yea,Nay,Yea,,Yea,,Yea,,,Yea,Nay,Nay,Yea,Nay,,1862-06-24,0,,unknown,
Nay,,,Not Voting,,,,,,Not Voting,Nay,,Yea,,Not Voting,Nay,Yea,Not Voting,Nay,,Not Voting,,Yea,Yea,Not Voting,Not Voting,,Nay,Yea,,,,Nay,Yea,,,,Not Voting,Yea,Not Voting,Yea,Not Voting,,Nay,,Not Voting,Yea,,,,Yea,Nay,Not Voting,,Not Voting,,Not Voting,,Yea,Not Voting,Nay,,Yea,,Nay,,,Yea,Yea,Yea,Not Voting,Yea,,1862-06-24,0,,unknown,
Yea,,,Not Voting,,,,,,Not Voting,Yea,,Yea,,Yea,Not Voting,Nay,Yea,Yea,,Yea,,Yea,Yea,Yea,Yea,,Yea,Yea,,,,Yea,Yea,,,,Yea,Yea,Yea,Yea,Yea,,Yea,,Yea,Yea,,,,Yea,Yea,Not Voting,,Yea,,Yea,,Yea,Yea,Yea,,Yea,,Yea,,,Yea,Yea,Yea,Not Voting,Yea,,1862-06-26,0,,unknown,
Yea,,,Not Voting,,,,,,Not Voting,Yea,,Yea,,Yea,Yea,Not Voting,Yea,Yea,,Yea,,Yea,Yea,Yea,Yea,,Yea,Yea,,,,Nay,Yea,,,,Yea,Yea,Yea,Yea,Yea,,Yea,,Yea,Yea,,,,Yea,Not Voting,Not Voting,,Not Voting,,Yea,,Nay,Yea,Yea,,Yea,,Not Voting,,,Yea,Yea,Yea,Not Voting,Yea,,1862-06-26,0,,unknown,
Nay,,,Not Voting,,,,,,Not Voting,Yea,,Yea,,Yea,Yea,Yea,Yea,Yea,,Nay,,Yea,Nay,Yea,Yea,,Nay,Yea,,,,Nay,Not Voting,,,,Yea,Yea,Yea,Nay,Yea,,Yea,,Yea,Yea,,,,Nay,Not Voting,Not Voting,,Not Voting,,Yea,,Nay,Yea,Yea,,Yea,,Yea,,,Yea,Yea,Yea,Not Voting,,,1862-06-26,0,,unknown,
Yea,,,Not Voting,,,,,,Not Voting,Yea,,Yea,,Yea,Nay,Yea,Yea,Yea,,Yea,,Yea,Yea,Yea,Yea,,Yea,Nay,,,,Yea,Yea,,,,Nay,Yea,Yea,Yea,Nay,,Nay,,Yea,Nay,,,,Yea,Not Voting,Not Voting,,Not Voting,,Yea,,Nay,Yea,Nay,,Yea,,Yea,,,Yea,Yea,Yea,Not Voting,,,1862-06-26,0,,unknown,
Yea,,,Not Voting,,,,,,Nay,Yea,,Yea,,Yea,Yea,Yea,Yea,Yea,,Yea,,Yea,Yea,Yea,Yea,,Yea,Yea,,,,Nay,Not Voting,,,,Yea,Yea,Yea,Nay,Yea,,Yea,,Yea,Yea,,,,Yea,Yea,Not Voting,,Not Voting,,Yea,,Nay,Yea,Yea,,Yea,,Yea,,,Yea,Yea,Yea,Not Voting,,,1862-06-26,0,,unknown,
Yea,,,Not Voting,,,,,,Nay,Yea,,Yea,,Yea,Yea,Nay,Yea,Yea,,Yea,,Yea,Yea,Nay,Yea,,Yea,Yea,,,,Yea,Yea,,,,Yea,Yea,Yea,Yea,Not Voting,,Yea,,Yea,Yea,,,,Yea,Not Voting,Not Voting,,Not Voting,,Yea,,Nay,Yea,Yea,,Yea,,Yea,,,Yea,Nay,Nay,Not Voting,,,1862-06-26,0,,unknown,
Nay,,,Not Voting,,,,,,Nay,Yea,,Nay,,Nay,Nay,Yea,Yea,Yea,,Nay,,Yea,Nay,Nay,Nay,,Nay,Nay,,,,,Not Voting,,,,Not Voting,Yea,Yea,Yea,Nay,,Nay,,Nay,Nay,,,,Yea,Not Voting,Not Voting,,Nay,,Nay,,Yea,Nay,Nay,,Yea,,Yea,,,Yea,Yea,Yea,Not Voting,,,1862-06-26,0,,unknown,
Yea,,,Not Voting,,,,,,Not Voting,Yea,,Yea,,Yea,Yea,Nay,Yea,Yea,,Yea,,Yea,Yea,Yea,Nay,,Yea,Yea,,,,,Yea,,,,Yea,Yea,Yea,Not Voting,Yea,,Not Voting,,Yea,Yea,,,,Not Voting,Not Voting,Not Voting,,Not Voting,,Yea,,Nay,Yea,Yea,,Yea,,Yea,,,Yea,Nay,Yea,Not Voting,,,1862-06-26,0,,unknown,
Yea,,,Not Voting,,,,,,Not Voting,Yea,,Yea,,Yea,Yea,Yea,Yea,Yea,,Not Voting,,Yea,Yea,Nay,Yea,,Yea,Yea,,,,,Yea,,,,Yea,Yea,Yea,Nay,Yea,,Yea,,Yea,Yea,,,,Not Voting,Not Voting,Not Voting,,Not Voting,,Yea,,Nay,Yea,Yea,,Yea,,Yea,,,Yea,Nay,Yea,Not Voting,,,1862-06-26,0,,unknown,
Nay,,,Not Voting,,,,,,Nay,Yea,,Yea,,Yea,Yea,Nay,Nay,Nay,,Yea,,Yea,Nay,Yea,Yea,,Yea,Nay,,,,,Yea,,,,Nay,Yea,Yea,Yea,Yea,,Nay,,Yea,Not Voting,,,,Not Voting,Not Voting,Not Voting,,Not Voting,,Yea,,Nay,Nay,Yea,,Yea,,Yea,,,Yea,Nay,Yea,Not Voting,,,1862-06-26,0,,unknown,
Yea,,,Not Voting,,,,,,Not Voting,Yea,,Yea,,Yea,Yea,Nay,Yea,Yea,,Yea,,Yea,Yea,Yea,Yea,,Yea,Yea,,,,,Yea,,,,Yea,Yea,Yea,Yea,Yea,,Yea,,Yea,Not Voting,,,,Not Voting,Yea,Not Voting,,Not Voting,,Yea,,Nay,Yea,Yea,,Yea,,Yea,,,Yea,Yea,Yea,Not Voting,,,1862-06-26,0,,unknown,
Yea,,,Not Voting,,,,,,Not Voting,Yea,,Yea,,Yea,Yea,Not Voting,Yea,Yea,,Yea,,Yea,Yea,Yea,Not Voting,,Yea,Yea,,,,,Yea,,,,Yea,Yea,Yea,Yea,Yea,,Yea,,Yea,Not Voting,,,,Not Voting,Not Voting,Not Voting,,Not Voting,,Yea,,Nay,Yea,Yea,,Yea,,Yea,,,Yea,Yea,Yea,Not Voting,,,1862-06-26,0,,unknown,
Yea,,,Not Voting,,,,,,Nay,Yea,,Yea,,Yea,Yea,Not Voting,Yea,Yea,,Yea,,Yea,Yea,Yea,Not Voting,,Yea,Yea,,,,,Yea,,,,Nay,Yea,Yea,Yea,Yea,,Not Voting,,Yea,Yea,,,,Not Voting,Nay,Not Voting,,Nay,,Yea,,Nay,Yea,Yea,,Yea,,Yea,,,Yea,Yea,Yea,Not Voting,,,1862-06-26,0,,unknown,s552
Yea,,,Nay,,,,,,Yea,Yea,,Yea,,Nay,Yea,Not Voting,Nay,Nay,,Nay,,Nay,Nay,Nay,Yea,,Yea,Nay,,,,,Yea,,,,Nay,Nay,Nay,Nay,Not Voting,,Nay,,Not Voting,Nay,,,,Not Voting,Nay,Not Voting,,Nay,,Nay,,Yea,Yea,Yea,,Not Voting,,Nay,,,Yea,Yea,Yea,Not Voting,,,1862-06-27,0,,unknown,
Yea,,,Nay,,,,,,Not Voting,Yea,,Yea,,Yea,Not Voting,Nay,Yea,Yea,,Yea,,Yea,Yea,Nay,Nay,,Yea,Yea,,,,,Yea,,,,Nay,Nay,Yea,Yea,Nay,,Yea,,Not Voting,Nay,,,,Not Voting,Nay,Not Voting,,Nay,,Yea,,Nay,Yea,Yea,,Nay,,Not Voting,,,Yea,Nay,Yea,Not Voting,,,1862-06-27,0,,unknown,
Yea,,,Yea,,,,,,Yea,Yea,,Nay,,Not Voting,Nay,Yea,Nay,Nay,,Nay,,Nay,Nay,Not Voting,Not Voting,,Yea,Yea,,,,,Not Voting,,,,Not Voting,Yea,Yea,Yea,Not Voting,,Not Voting,,Not Voting,Nay,,,,Not Voting,Yea,Not Voting,,Not Voting,,Not Voting,,Nay,Yea,Nay,,Yea,,Yea,,,Yea,Yea,Nay,Not Voting,,,1862-06-27,0,,unknown,
Nay,,,Not Voting,,,,,,Nay,Yea,,Nay,,Not Voting,Nay,Yea,Nay,Nay,,Nay,,Nay,Yea,Nay,Nay,,Nay,Nay,,,,,Nay,,,,Not Voting,Nay,Yea,Yea,Not Voting,,Not Voting,,Yea,Nay,,,,Not Voting,Nay,Not Voting,,Not Voting,,Not Voting,,Nay,Yea,Nay,,Yea,,Yea,,,Yea,Not Voting,Yea,Not Voting,,,1862-06-28,0,,unknown,
Nay,,,Not Voting,,,,,,Not Voting,Yea,,Nay,,Nay,Nay,Nay,Nay,Nay,,Nay,,Nay,Nay,Yea,Not Voting,,Yea,Nay,,,,,Yea,,,,Not Voting,Yea,Nay,Yea,Not Voting,,Not Voting,,Yea,Nay,,,,Not Voting,Nay,Not Voting,,Not Voting,,Nay,,Yea,Yea,Nay,,Yea,,Yea,,,Yea,Nay,Nay,Not Voting,,,1862-06-28,0,,unknown,hr471
Yea,,,Not Voting,,,,,,Yea,Nay,,Yea,,Yea,Yea,Nay,Yea,Yea,,Yea,,Yea,Yea,Nay,Nay,,Yea,Yea,,,,,Yea,,,,Not Voting,Nay,Nay,Nay,Not Voting,,Not Voting,,Nay,Yea,,,,Not Voting,Not Voting,Yea,,Not Voting,,Nay,,Nay,Nay,Yea,,Nay,,Nay,,,Nay,Nay,Nay,Not Voting,,,1862-06-28,0,,unknown,hr471
