A000083,B000014,B000044,B000110,B000429,B000634,B000670,B000749,B000769,B000827,B000844,B000939,B001044,B001103,B001125,B001142,B001159,C000200,C000277,C000414,C000425,C000463,C000478,C000875,C000888,C000963,C000973,C000988,C001008,D000035,D000112,D000264,D000302,D000347,D000372,D000404,D000559,E000109,E000110,F000200,F000207,F000310,F000352,F000398,G000023,G000032,G000312,G000323,G000491,G000520,H000029,H000554,H000919,J000162,J000193,J000257,K000028,L000004,L000393,L000444,M000200,M000397,M000429,M000542,M000854,N000040,N000069,N000114,O000073,O000140,O000153,P000014,P000156,P000217,P000223,P000232,P000351,P000570,R000086,R000221,R000430,S000182,S000371,S000415,S000530,S000577,S000629,S000644,S000863,S000968,S001080,S001094,T000026,T000098,T000131,T000199,T000241,T000274,W000160,W000164,W000198,W000312,Y000046,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Yea,,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Yea,,Nay,,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Yea,,Yea,Yea,,Nay,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,,Nay,Not Voting,,,,Not Voting,Yea,Not Voting,,Yea,,1909-08-05,0,,unknown,hr1438,,,,
Yea,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Yea,,Nay,,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Yea,,Yea,Yea,,Nay,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Not Voting,,Nay,Not Voting,,,,Not Voting,Yea,Not Voting,,Yea,,1909-08-05,0,,unknown,,,,,
Yea,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Yea,,Nay,,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Yea,,Yea,Yea,,Nay,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Yea,Yea,Nay,Not Voting,,Nay,Not Voting,,,,Not Voting,Yea,Not Voting,,Yea,,1909-08-05,0,,unknown,,,,,
Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,,Yea,,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,,Yea,Yea,,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,,Yea,Not Voting,,,,Not Voting,Yea,Not Voting,,Yea,,1909-08-05,0,,unknown,,,,,
Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,,Yea,Not Voting,Yea,Yea,,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,,Not Voting,Yea,,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,,Not Voting,Not Voting,,Not Voting,,Nay,Not Voting,Yea,,Yea,,1910-01-24,0,,unknown,s3906,,,,
Not Voting,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Not Voting,Nay,Yea,,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Not Voting,Yea,,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,,Yea,Yea,,Yea,,Yea,Not Voting,Not Voting,,Not Voting,,1910-01-26,0,,unknown,s404,,,,
Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Nay,,Yea,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Yea,Not Voting,,Nay,Not Voting,Nay,Yea,,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Yea,,Yea,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,,Not Voting,Not Voting,,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Nay,,Not Voting,Yea,,,,Not Voting,Nay,Nay,,Nay,,1910-02-01,0,,unknown,s5876,,,,
Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,,Not Voting,Not Voting,Not Voting,Nay,,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,,Not Voting,Yea,,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,,Not Voting,Not Voting,,,,Yea,Yea,Yea,,Not Voting,,1910-02-07,0,,unknown,sjres63,,,,
Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,,Not Voting,Not Voting,Nay,Not Voting,,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,,Not Voting,Yea,,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,,Not Voting,Not Voting,,,,Yea,Yea,Yea,,Not Voting,,1910-02-07,0,,unknown,sjres63,,,,
Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,,Not Voting,Not Voting,Nay,Nay,,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Nay,Nay,,Nay,Nay,Nay,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,,Not Voting,Yea,,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Yea,,Not Voting,Yea,,,,Yea,Yea,Yea,,Yea,,1910-02-10,0,,unknown,sres50,,,,
Not Voting,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Nay,,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,,Not Voting,Not Voting,Nay,Not Voting,,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,Not Voting,,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Nay,,Not Voting,Yea,,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Yea,,Not Voting,Nay,,,,Nay,Nay,Nay,,Nay,,1910-02-10,0,,unknown,sres177,,,,
Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Yea,Yea,Nay,,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Yea,,Nay,Nay,Not Voting,Yea,,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Not Voting,,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Nay,Yea,Nay,,Not Voting,Nay,,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,,Yea,Yea,,,,Not Voting,Yea,Nay,,Nay,,1910-03-03,0,,unknown,s5876,,,,
Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Yea,Not Voting,,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,,Nay,Not Voting,Nay,Not Voting,,Nay,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Yea,Not Voting,,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Nay,Not Voting,,Not Voting,Nay,,Nay,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Not Voting,,Yea,Not Voting,,,,Not Voting,Nay,Nay,,Nay,,1910-03-05,0,,unknown,s5876,,,,
Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,,Yea,Not Voting,Not Voting,Yea,,Yea,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Nay,,Nay,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Nay,Not Voting,,Not Voting,Yea,,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,,Yea,Yea,,,,Not Voting,Yea,Yea,,Nay,,1910-03-05,0,,unknown,s5876,,,,
Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Yea,,Nay,Not Voting,Nay,Not Voting,,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Yea,,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,,Not Voting,Nay,,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Nay,,Nay,Nay,,,,Not Voting,Nay,Nay,,Nay,,1910-03-05,0,,unknown,s5876,,,,
Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Nay,,Yea,Not Voting,Yea,Yea,,Nay,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Nay,,Nay,Not Voting,Not Voting,Yea,Yea,Nay,Nay,Yea,Nay,Not Voting,,Not Voting,Yea,,Nay,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,,Nay,Nay,,,,Not Voting,Yea,Yea,,Yea,,1910-03-05,0,,unknown,s5876,,,,
Not Voting,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Nay,,Yea,Not Voting,Yea,Yea,,Nay,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,,Nay,Not Voting,Not Voting,Yea,Yea,Nay,Nay,Yea,Nay,Not Voting,,Yea,Yea,,Nay,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,,Nay,Nay,,,,Not Voting,Yea,Yea,,Yea,,1910-03-05,0,,unknown,s5876,,,,
Yea,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Yea,,Nay,,Yea,Yea,Not Voting,Not Voting,,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,,Nay,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,,Yea,Not Voting,,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,,Nay,Nay,,,,Not Voting,Yea,Yea,,Yea,,1910-03-16,0,,unknown,sres172,,,,
Yea,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,Not Voting,Yea,,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,,Nay,,Not Voting,Yea,Not Voting,Yea,,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Yea,,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Yea,,Yea,Not Voting,,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Yea,,Nay,Nay,,,,Not Voting,Yea,Yea,,Yea,,1910-03-16,0,,unknown,sres172,,,,
Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,,Not Voting,,Yea,Nay,Nay,Yea,,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,,Yea,Yea,,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,,Not Voting,Yea,,,,Not Voting,Yea,Not Voting,,Yea,,1910-03-28,0,,unknown,hjres116,,,,
Nay,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,,Not Voting,,Nay,Yea,Yea,Yea,,Yea,Nay,Not Voting,Nay,Nay,,Not Voting,Nay,Not Voting,,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,,Yea,Nay,,Not Voting,Not Voting,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,,Not Voting,Yea,,,,Not Voting,Nay,Not Voting,,Not Voting,,1910-04-01,0,,unknown,hr17263,,,,
Nay,Nay,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Not Voting,Nay,Not Voting,,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,,Nay,,Yea,Not Voting,Yea,Nay,,Nay,Yea,Nay,Not Voting,Nay,,Not Voting,Yea,Yea,,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Yea,Not Voting,,Yea,Yea,,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,,Not Voting,Yea,,,,Not Voting,Not Voting,Yea,,Not Voting,,1910-04-11,0,,unknown,s6737,,,,
Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Not Voting,,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Nay,,Yea,,Nay,Not Voting,Nay,Yea,,Yea,Nay,Nay,Not Voting,Nay,,Not Voting,Nay,Yea,,Nay,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Yea,Not Voting,,Nay,Nay,,Yea,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,,Not Voting,Yea,,,,Not Voting,Not Voting,Not Voting,,Not Voting,,1910-04-11,0,,unknown,s6737,,,,
Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,,Nay,Yea,Nay,Yea,Yea,Not Voting,Nay,Nay,,Yea,,Nay,Not Voting,Nay,Nay,,Yea,Nay,Nay,Not Voting,Nay,,Not Voting,Nay,Yea,,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Not Voting,,Nay,Nay,,Yea,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,,Not Voting,Nay,,,,Not Voting,Not Voting,Nay,,Not Voting,,1910-04-11,0,,unknown,s6737,,,,
Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Not Voting,,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Nay,,Yea,,Nay,Not Voting,Not Voting,Nay,,Yea,Nay,Nay,Not Voting,Nay,,Not Voting,Nay,Not Voting,,Yea,Not Voting,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Not Voting,,Nay,Nay,,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,,Not Voting,Not Voting,,,,Not Voting,Not Voting,Nay,,Not Voting,,1910-04-11,0,,unknown,s6737,,,,
Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Yea,,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,,Nay,,Yea,Not Voting,Yea,Yea,,Yea,Yea,Yea,Nay,Yea,,Yea,Not Voting,Nay,,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,,Yea,Yea,,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,,Not Voting,Yea,,,,Not Voting,Yea,Yea,,Yea,,1910-04-14,0,,unknown,s6737,,,,
Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,,Nay,,Yea,Not Voting,Nay,Nay,,Nay,Nay,Yea,Nay,Yea,,Yea,Not Voting,Nay,,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Yea,Not Voting,,Yea,Yea,,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,,Not Voting,Yea,,,,Not Voting,Yea,Not Voting,,Yea,,1910-04-19,0,,unknown,hr20686,,,,
Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Nay,,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,,Yea,,Nay,Not Voting,Nay,Nay,,Yea,Yea,Nay,Yea,Nay,,Nay,Not Voting,Yea,,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Nay,Not Voting,,Nay,Nay,,Not Voting,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,,Not Voting,Nay,,,,Not Voting,Nay,Not Voting,,Nay,,1910-04-19,0,,unknown,hr20686,,,,
Yea,Nay,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Yea,,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Yea,Yea,,Yea,,Not Voting,Not Voting,Nay,Nay,,Not Voting,Nay,Not Voting,Nay,Yea,,Nay,Not Voting,Not Voting,,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,,Yea,Yea,,Not Voting,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,,Not Voting,Not Voting,,,,Not Voting,Yea,Not Voting,,Yea,,1910-04-21,0,,unknown,,,,,
