A000150,A000275,B000030,B000183,B000233,B000251,B000398,B000413,B001005,C000044,C000375,C000481,C000482,C000499,C000703,C000851,C000912,C001023,D000166,D000376,E000241,F000425,G000362,H000482,H000997,K000139,K000217,L000338,M000096,M000426,M000599,M000654,M000731,M000938,M001050,N000096,P000299,P000333,P000437,P000510,P000519,R000285,S000256,S000417,S000599,S000600,S000689,S000746,S001046,T000032,T000039,W000067,W000351,W000458,W000532,W000709,W000711,W000770,Y000050,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Nay,Not Voting,,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,,,Yea,,,,Not Voting,,,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,,Not Voting,Yea,Yea,Not Voting,,,Yea,,Yea,,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,,,Yea,Yea,Nay,Yea,Not Voting,,Not Voting,Nay,Nay,Nay,Nay,1842-07-12,0,,unknown,,,,,
Not Voting,Not Voting,,Nay,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Yea,,,Yea,,,,Not Voting,,,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Nay,,Nay,Yea,Yea,Nay,,,Yea,,Yea,,Nay,Not Voting,Nay,Yea,Yea,Nay,,,Nay,Yea,Not Voting,Not Voting,Not Voting,,Not Voting,Not Voting,Nay,Nay,Nay,1842-07-12,0,,unknown,,,,,
Not Voting,Nay,,Nay,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Nay,,,Nay,,,,Not Voting,,,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Nay,,Yea,Yea,Nay,Yea,,,Nay,,Yea,,Not Voting,Not Voting,Yea,Nay,Yea,Yea,,,Yea,Yea,Not Voting,Yea,Not Voting,,Nay,Not Voting,Yea,Yea,Yea,1842-07-12,0,,unknown,,,,,
Not Voting,Nay,,Nay,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Nay,,,Nay,,,,Not Voting,,,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Nay,,Yea,Nay,Nay,Not Voting,,,Not Voting,,Nay,,Not Voting,Not Voting,Yea,Nay,Nay,Yea,,,Yea,Yea,Not Voting,Yea,Yea,,Nay,Yea,Not Voting,Yea,Yea,1842-07-12,0,,unknown,,,,,
Not Voting,Nay,,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,,,Nay,,,,Not Voting,,,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,,Not Voting,Nay,Nay,Not Voting,,,Nay,,Nay,,Nay,Not Voting,Nay,Nay,Nay,Nay,,,Not Voting,Not Voting,Not Voting,Yea,Nay,,Nay,Nay,Not Voting,Nay,Not Voting,1842-07-12,0,,unknown,,,,,
Yea,Nay,,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,,,Nay,,,,Yea,,,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Nay,,Yea,Nay,Nay,Nay,,,Nay,,Nay,,Nay,Yea,Yea,Nay,Nay,Yea,,,Yea,Nay,Yea,Yea,Nay,,Nay,Yea,Yea,Yea,Yea,1842-07-13,0,,unknown,,,,,
Yea,Nay,,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Not Voting,,,Nay,,,,Yea,,,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Nay,,Yea,Nay,Nay,Nay,,,Nay,,Nay,,Nay,Nay,Yea,Nay,Nay,Yea,,,Not Voting,Nay,Yea,Yea,Nay,,Nay,Not Voting,Yea,Yea,Yea,1842-07-13,0,,unknown,,,,,
Not Voting,Nay,,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,,,Not Voting,,,,Yea,,,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,,Yea,Nay,Nay,Nay,,,Nay,,Nay,,Yea,Not Voting,Yea,Yea,Nay,Yea,,,Not Voting,Nay,Yea,Yea,Yea,,Nay,Not Voting,Yea,Nay,Yea,1842-07-13,0,,unknown,,,,,
Not Voting,Nay,,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,,,Nay,,,,Yea,,,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Yea,,Not Voting,Nay,Nay,Nay,,,Nay,,Nay,,Yea,Nay,Yea,Nay,Nay,Not Voting,,,Yea,Not Voting,Nay,Nay,Not Voting,,Nay,Nay,Not Voting,Yea,Yea,1842-07-14,0,,unknown,,,,,
Nay,Not Voting,,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,,,Not Voting,,,,Nay,,,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Nay,,Not Voting,Nay,Nay,Nay,,,Nay,,Nay,,Yea,Not Voting,Nay,Nay,Nay,Nay,,,Not Voting,Not Voting,Nay,Nay,Not Voting,,Not Voting,Not Voting,Nay,Nay,Nay,1842-07-14,0,,unknown,,,,,
Nay,Not Voting,,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,,,Not Voting,,,,Nay,,,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,,Not Voting,Not Voting,Nay,Nay,,,Nay,,Not Voting,,Yea,Not Voting,Nay,Not Voting,Nay,Nay,,,Not Voting,Not Voting,Not Voting,Nay,Not Voting,,Yea,Not Voting,Nay,Nay,Nay,1842-07-14,0,,unknown,,,,,
Yea,Yea,,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Not Voting,,,Not Voting,,,,Not Voting,,,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,,Not Voting,Yea,Yea,Yea,,,Yea,,Yea,,Nay,Not Voting,Yea,Yea,Yea,Yea,,,Not Voting,Not Voting,Yea,Yea,Not Voting,,Not Voting,Not Voting,Not Voting,Yea,Yea,1842-07-14,0,,unknown,,,,,
Nay,Yea,,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,,,Nay,,,,Nay,,,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,,Nay,Nay,Nay,Not Voting,,,Nay,,Nay,,Not Voting,Yea,Nay,Yea,Nay,Nay,,,Nay,Not Voting,Nay,Nay,Nay,,Yea,Nay,Nay,Not Voting,Nay,1842-07-14,0,,unknown,hr4,,,,
Nay,Yea,,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,,,Yea,,,,Nay,,,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,,Nay,Yea,Yea,Yea,,,Not Voting,,Yea,,Yea,Yea,Nay,Yea,Yea,Nay,,,Nay,Not Voting,Not Voting,Not Voting,Not Voting,,Not Voting,Yea,Nay,Nay,Nay,1842-07-15,0,,unknown,hr4,,,,
Nay,Yea,,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Nay,Not Voting,,,Not Voting,,,,Yea,,,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,,Yea,Nay,Nay,Nay,,,Not Voting,,Nay,,Yea,Not Voting,Yea,Nay,Nay,Yea,,,Yea,Not Voting,Nay,Yea,Nay,,Not Voting,Nay,Nay,Nay,Yea,1842-07-16,0,,unknown,hr4,,,,
Not Voting,Nay,,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Yea,Not Voting,,,Not Voting,,,,Not Voting,,,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,,Yea,Nay,Nay,Not Voting,,,Not Voting,,Yea,,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,,,Not Voting,Not Voting,Not Voting,Nay,Yea,,Nay,Yea,Not Voting,Nay,Yea,1842-07-16,0,,unknown,,,,,
Not Voting,Yea,,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Yea,Not Voting,,,Not Voting,,,,Not Voting,,,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,,Nay,Yea,Yea,Yea,,,Not Voting,,Yea,,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,,,Not Voting,Not Voting,Not Voting,Not Voting,Nay,,Nay,Yea,Nay,Nay,Nay,1842-07-16,0,,unknown,hr4,,,,
Yea,Not Voting,,Nay,Nay,Not Voting,Yea,Nay,Yea,Yea,Nay,,,Nay,,,,Yea,,,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,,Yea,Nay,Nay,Nay,,,Not Voting,,Nay,,Not Voting,Yea,Yea,Nay,Nay,Yea,,,Yea,Not Voting,Not Voting,Yea,Nay,,Not Voting,Nay,Yea,Yea,Yea,1842-07-18,0,,unknown,hr4,,,,
Not Voting,Not Voting,,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Not Voting,,,Nay,,,,Yea,,,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,Yea,Yea,,Yea,Nay,Yea,Not Voting,,,Not Voting,,Nay,,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,,,Yea,Not Voting,Not Voting,Yea,Nay,,Not Voting,Yea,Yea,Not Voting,Yea,1842-07-18,0,,unknown,hr4,,,,
Yea,Yea,,Nay,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,,,Nay,,,,Yea,,,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Yea,,Yea,Nay,Nay,Not Voting,,,Not Voting,,Nay,,Yea,Not Voting,Nay,Nay,Nay,Yea,,,Yea,Not Voting,Not Voting,Yea,Nay,,Yea,Nay,Not Voting,Yea,Yea,1842-07-19,0,,unknown,hr4,,,,
Nay,Nay,,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,Not Voting,,,Yea,,,,Not Voting,,,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Nay,Nay,,Nay,Not Voting,Yea,Yea,,,Not Voting,,Not Voting,,Yea,Nay,Yea,Yea,Yea,Yea,,,Nay,Not Voting,Not Voting,Not Voting,Yea,,Yea,Yea,Yea,Nay,Nay,1842-07-19,0,,unknown,hr4,,,,
Yea,Yea,,Yea,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Not Voting,,,Yea,,,,Nay,,,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Nay,,Nay,Yea,Yea,Not Voting,,,Yea,,Yea,,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,,,Nay,Not Voting,Yea,Nay,Yea,,Yea,Not Voting,Nay,Not Voting,Not Voting,1842-07-20,0,,unknown,hr4,,,,
Not Voting,Not Voting,,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,,,Nay,,,,Not Voting,,,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,,Not Voting,Nay,Nay,Nay,,,Nay,,Nay,,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,,,Not Voting,Not Voting,Nay,Not Voting,Nay,,Nay,Nay,Not Voting,Nay,Not Voting,1842-07-21,0,,unknown,,,,,
Not Voting,Nay,,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,,,Nay,,,,Yea,,,Yea,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,,Nay,Yea,Yea,Not Voting,,,Yea,,Nay,,Yea,Yea,Yea,Yea,Yea,Not Voting,,,Yea,Not Voting,Not Voting,Yea,Yea,,Yea,Nay,Nay,Nay,Yea,1842-07-21,0,,unknown,,,,,
Not Voting,Yea,,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,,,Nay,,,,Yea,,,Yea,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,,Nay,Yea,Yea,Not Voting,,,Yea,,Nay,,Nay,Not Voting,Yea,Yea,Yea,Not Voting,,,Not Voting,Not Voting,Not Voting,Yea,Yea,,Nay,Nay,Nay,Nay,Not Voting,1842-07-21,0,,unknown,,,,,
Not Voting,Not Voting,,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,,,Nay,,,,Not Voting,,,Not Voting,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Yea,,Nay,Nay,Yea,Not Voting,,,Nay,,Nay,,Nay,Not Voting,Yea,Nay,Nay,Not Voting,,,Not Voting,Not Voting,Nay,Yea,Nay,,Not Voting,Not Voting,Nay,Nay,Nay,1842-07-21,0,,unknown,hr4,,,,
Not Voting,Not Voting,,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,,,Nay,,,,Not Voting,,,Not Voting,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Yea,,Nay,Nay,Not Voting,Not Voting,,,Yea,,Nay,,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,,,Not Voting,Not Voting,Nay,Yea,Not Voting,,Nay,Nay,Nay,Nay,Not Voting,1842-07-21,0,,unknown,s1,,,,
Not Voting,Not Voting,,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Yea,,,Nay,,,,Not Voting,,,Not Voting,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Yea,,Nay,Nay,Not Voting,Not Voting,,,Not Voting,,Nay,,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,,,Not Voting,Not Voting,Nay,Yea,Not Voting,,Yea,Nay,Nay,Nay,Not Voting,1842-07-21,0,,unknown,s1,,,,
Not Voting,Not Voting,,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,,,Nay,,,,Not Voting,,,Not Voting,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Yea,,Nay,Nay,Yea,Not Voting,,,Nay,,Nay,,Not Voting,Yea,Yea,Yea,Nay,Not Voting,,,Not Voting,Not Voting,Nay,Yea,Not Voting,,Not Voting,Nay,Nay,Nay,Yea,1842-07-21,0,,unknown,s1,,,,
Not Voting,Yea,,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,,,Nay,,,,Not Voting,,,Not Voting,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Yea,,Nay,Nay,Yea,Yea,,,Yea,,Nay,,Nay,Not Voting,Yea,Not Voting,Nay,Not Voting,,,Yea,Not Voting,Nay,Not Voting,Nay,,Not Voting,Nay,Not Voting,Nay,Yea,1842-07-22,0,,unknown,s1,,,,
Nay,Yea,,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,,,Yea,,,,Nay,,,Not Voting,Nay,Not Voting,Not Voting,Yea,Not Voting,Nay,Nay,Nay,,Not Voting,Yea,Yea,Not Voting,,,Yea,,Yea,,Nay,Not Voting,Yea,Yea,Yea,Nay,,,Nay,Not Voting,Yea,Nay,Yea,,Not Voting,Nay,Nay,Nay,Nay,1842-07-22,0,,unknown,hr4,,,,
Not Voting,Yea,,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Nay,,,Nay,,,,Yea,,,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,,Nay,Nay,Nay,Yea,,,Not Voting,,Nay,,Not Voting,Not Voting,Yea,Nay,Nay,Yea,,,Yea,Not Voting,Yea,Yea,Nay,,Yea,Nay,Yea,Nay,Yea,1842-07-23,0,,unknown,hr4,,,,
Not Voting,Not Voting,,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,Yea,,,Yea,,,,Nay,,,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Nay,,Nay,Nay,Yea,Not Voting,,,Not Voting,,Yea,,Nay,Nay,Nay,Yea,Yea,Not Voting,,,Not Voting,Not Voting,Yea,Nay,Yea,,Yea,Yea,Nay,Not Voting,Not Voting,1842-07-23,0,,unknown,hr4,,,,
Yea,Yea,,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,,,Nay,,,,Yea,,,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,,Yea,Not Voting,Yea,Nay,,,Nay,,Not Voting,,Yea,Not Voting,Not Voting,Nay,Nay,Yea,,,Yea,Nay,Nay,Nay,Nay,,Not Voting,Yea,Yea,Not Voting,Yea,1842-07-25,0,,unknown,hr4,,,,
Yea,Not Voting,,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,,,Not Voting,,,,Yea,,,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,,Yea,Nay,Yea,Not Voting,,,Yea,,Yea,,Yea,Not Voting,Yea,Not Voting,Yea,Yea,,,Not Voting,Yea,Yea,Yea,Yea,,Not Voting,Not Voting,Yea,Not Voting,Not Voting,1842-07-25,0,,unknown,hr4,,,,
Not Voting,Yea,,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,,,Yea,,,,Not Voting,,,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,,Yea,Yea,Yea,Yea,,,Yea,,Not Voting,,Yea,Yea,Yea,Yea,Yea,Nay,,,Not Voting,Not Voting,Nay,Yea,Not Voting,,Not Voting,Not Voting,Yea,Nay,Not Voting,1842-07-27,0,,unknown,hr4,,,,
Yea,Yea,,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,,,Nay,,,,Yea,,,Nay,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,,Not Voting,Not Voting,Nay,Not Voting,,,Nay,,Nay,,Yea,Yea,Yea,Nay,Nay,Yea,,,Yea,Not Voting,Nay,Yea,Nay,,Yea,Nay,Yea,Not Voting,Yea,1842-07-29,0,,unknown,hr4,,,,
Nay,Not Voting,,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,,,Yea,,,,Nay,,,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Yea,,Not Voting,Yea,Yea,Yea,,,Not Voting,,Yea,,Nay,Nay,Nay,Yea,Yea,Nay,,,Nay,Not Voting,Nay,Not Voting,Yea,,Yea,Yea,Not Voting,Not Voting,Nay,1842-07-30,0,,unknown,hr4,,,,
Not Voting,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,,,Nay,,,,Yea,,,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,,Not Voting,Nay,Nay,Nay,,,Not Voting,,Nay,,Not Voting,Nay,Yea,Nay,Nay,Not Voting,,,Nay,Nay,Not Voting,Yea,Nay,,Yea,Nay,Yea,Not Voting,Nay,1842-07-30,0,,unknown,hr4,,,,
Yea,Nay,,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,,,Nay,,,,Yea,,,Nay,Yea,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,,Not Voting,Nay,Nay,Nay,,,Nay,,Nay,,Nay,Yea,Yea,Nay,Nay,Yea,,,Nay,Nay,Yea,Yea,Nay,,Yea,Nay,Yea,Not Voting,Yea,1842-07-30,0,,unknown,hr4,,,,
Yea,Nay,,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,,,Nay,,,,Yea,,,Nay,Yea,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Nay,,Yea,Nay,Nay,Nay,,,Nay,,Nay,,Nay,Yea,Yea,Nay,Nay,Yea,,,Nay,Nay,Yea,Yea,Nay,,Yea,Nay,Yea,Yea,Not Voting,1842-07-30,0,,unknown,s5,,,,
Yea,Nay,,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,,,Nay,,,,Yea,,,Nay,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,,Yea,Nay,Nay,Nay,,,Nay,,Nay,,Nay,Yea,Yea,Nay,Nay,Yea,,,Nay,Nay,Yea,Yea,Nay,,Not Voting,Nay,Yea,Yea,Yea,1842-07-30,0,,unknown,hr4,,,,
Yea,Yea,,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,,,Nay,,,,Yea,,,Nay,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,,Yea,Nay,Nay,Nay,,,Nay,,Nay,,Not Voting,Yea,Yea,Nay,Nay,Yea,,,Nay,Nay,Yea,Yea,Nay,,Yea,Nay,Yea,Yea,Yea,1842-07-30,0,,unknown,hr4,,,,
Nay,Yea,,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,,,Nay,,,,Yea,,,Nay,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Yea,,Not Voting,Nay,Nay,Nay,,,Nay,,Nay,,Yea,Nay,Yea,Nay,Nay,Nay,,,Nay,Yea,Nay,Yea,Nay,,Yea,Nay,Not Voting,Yea,Yea,1842-07-30,0,,unknown,hr4,,,,
Yea,Nay,,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Nay,,,Nay,,,,Not Voting,,,Nay,Yea,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Nay,,Yea,Nay,Nay,Nay,,,Nay,,Nay,,Nay,Yea,Yea,Nay,Nay,Yea,,,Nay,Yea,Yea,Yea,Nay,,Yea,Nay,Yea,Yea,Yea,1842-07-30,0,,unknown,s5,,,,
Nay,Yea,,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Not Voting,,,Yea,,,,Nay,,,Yea,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,,Nay,Not Voting,Yea,Yea,,,Yea,,Not Voting,,,Not Voting,Not Voting,Yea,Yea,Nay,,,Nay,Not Voting,Nay,Nay,Yea,,Yea,Yea,Nay,Not Voting,Nay,1842-08-01,0,,unknown,hr4,,,,
Yea,Not Voting,,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,,,Nay,,,,Yea,,,Nay,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Yea,,Yea,Not Voting,Nay,Nay,,,Nay,,Nay,,,Not Voting,Yea,Nay,Nay,Yea,,,Yea,Nay,Yea,Yea,Nay,,Yea,Nay,Yea,Yea,Yea,1842-08-01,0,,unknown,hr4,,,,
Nay,Nay,,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Yea,,,Yea,,,,Nay,,,Yea,Nay,Nay,Not Voting,Yea,Yea,Nay,Nay,Not Voting,,Nay,Not Voting,Yea,Not Voting,,,Not Voting,,Not Voting,,,Nay,Nay,Not Voting,Yea,Nay,,,Nay,Yea,Nay,Not Voting,Yea,,Yea,Yea,Nay,Nay,Nay,1842-08-02,0,,unknown,s3,,,,
Yea,Nay,,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,,,Nay,,,,Yea,,,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,,Yea,Nay,Nay,Nay,,,Nay,,Nay,,,Yea,Yea,Nay,Nay,Yea,,,Yea,Nay,Yea,Yea,Nay,,Not Voting,Nay,Yea,Yea,Yea,1842-08-02,0,,unknown,hr4,,,,
Nay,Yea,,Not Voting,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Yea,,,Nay,,,,Yea,,,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Nay,Yea,Yea,Yea,,,Yea,,Yea,,,Yea,Yea,Yea,Yea,Nay,,,Nay,Yea,Nay,Nay,Nay,,Not Voting,Not Voting,Not Voting,Not Voting,Yea,1842-08-02,0,,unknown,hr4,,,,
Nay,Nay,,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Nay,,,Nay,,,,Yea,,,Nay,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,,Nay,Yea,Nay,Nay,,,Nay,,Nay,,,Yea,Yea,Not Voting,Nay,Yea,,,Not Voting,Nay,Nay,Yea,Yea,,Not Voting,Not Voting,Not Voting,Not Voting,Yea,1842-08-02,0,,unknown,hr4,,,,
Yea,Nay,,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,,,Nay,,,,Yea,,,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,,Yea,Nay,Nay,Nay,,,Nay,,Nay,,,Not Voting,Yea,Nay,Nay,Yea,,,Yea,Nay,Yea,Yea,Nay,,Yea,Not Voting,Not Voting,Not Voting,Yea,1842-08-02,0,,unknown,s5,,,,
Yea,Not Voting,,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,,,Nay,,,,Not Voting,,,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,,Yea,Nay,Nay,Nay,,,Nay,,Nay,,,Not Voting,Not Voting,Nay,Not Voting,Yea,,,Yea,Nay,Yea,Nay,Nay,,Yea,Nay,Yea,Yea,Yea,1842-08-03,0,,unknown,s4,,,,
Yea,Nay,,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Nay,,,Nay,,,,Not Voting,,,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,,Yea,Nay,Nay,Nay,,,Yea,,Nay,,,Not Voting,Yea,Nay,Nay,Yea,,,Yea,Nay,Yea,Not Voting,Nay,,Yea,Nay,Yea,Yea,Yea,1842-08-03,0,,unknown,hr4,,,,
Yea,Nay,,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Nay,,,Nay,,,,Not Voting,,,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,,Yea,Nay,Nay,Nay,,,Nay,,Nay,,,Yea,Yea,Nay,Nay,Not Voting,,,Not Voting,Nay,Not Voting,Yea,Nay,,Nay,Nay,Yea,Yea,Yea,1842-08-03,0,,unknown,hr4,,,,
Yea,Nay,,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Nay,,,Nay,,,,Not Voting,,,Nay,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,Not Voting,,Yea,Nay,Nay,Nay,,,Nay,,Nay,,,Yea,Yea,Nay,Nay,Not Voting,,,Not Voting,Nay,Not Voting,Yea,Nay,,Yea,Nay,Yea,Yea,Yea,1842-08-03,0,,unknown,hr4,,,,
Not Voting,Nay,,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,,,Nay,,,,Not Voting,,,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,,Yea,Nay,Nay,Nay,,,Nay,,Nay,,,Yea,Not Voting,Nay,Nay,Not Voting,,,Not Voting,Nay,Yea,Yea,Nay,,Nay,Nay,Yea,Yea,Not Voting,1842-08-03,0,,unknown,hr4,,,,
Not Voting,Nay,,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,,,Nay,,,,Not Voting,,,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,,Yea,Nay,Nay,Nay,,,Nay,,Nay,,,Yea,Yea,Nay,Nay,Not Voting,,,Not Voting,Nay,Yea,Yea,Nay,,Nay,Nay,Yea,Yea,Not Voting,1842-08-03,0,,unknown,hr4,,,,
Yea,Nay,,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,,,Nay,,,,Yea,,,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Nay,,Yea,Nay,Nay,Nay,,,Nay,,Nay,,,Nay,Yea,Nay,Nay,Yea,,,Yea,Nay,Yea,Yea,Nay,,Yea,Nay,Yea,Yea,Yea,1842-08-03,0,,unknown,hr4,,,,
Yea,Nay,,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,,,Nay,,,,Yea,,,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Nay,,Yea,Nay,Nay,Nay,,,Nay,,Nay,,,Nay,Yea,Nay,Nay,Yea,,,Yea,Nay,Yea,Yea,Nay,,Nay,Nay,Yea,Yea,Yea,1842-08-03,0,,unknown,hr4,,,,
